TJV-7387-ZUB#Sortir 1#-21.547577#74.536791
SQC-5797-NUD#Sortir 44#-10.309931#168.412702
ZMN-1432-EQI#Sortir 45#15.440437#-136.074854
IUP-5845-RUU#Sortir 46#71.737487#145.39391
SWU-6858-YSG#Sortir 47#-2.865466#152.501972
XJL-7291-TZA#Sortir 48#17.027326#83.507872
JRY-5745-GLV#Sortir 49#-41.182909#-149.342029
LPK-5382-UYP#Sortir 50#23.737338#10.191993
TJJ-5058-YKY#Sortir 51#-40.173021#114.802713
ACA-6716-KTM#Sortir 52#-34.104803#94.725527
SGW-9885-ZTP#Sortir 53#-44.856496#36.183492
ZII-7542-CAF#Sortir 54#-36.838908#-96.174825
NGK-8487-MNP#Sortir 55#41.674399#-146.068916
NQV-6052-LIA#Sortir 56#-86.371407#30.747918
HWU-5302-AKJ#Sortir 57#-2.550508#95.281181
LZD-1447-KJQ#Sortir 58#44.580551#137.892445
OGD-7131-QMI#Sortir 59#51.793343#115.565518
FYN-5853-BNR#Sortir 60#65.814041#-83.971587
PNP-6364-LUV#Sortir 61#-83.075857#-37.853422
RPL-3809-GLH#Sortir 62#-17.875931#31.79969
ZVG-5970-KOO#Sortir 63#-44.954086#-176.405247
SUW-3861-IGP#Sortir 64#-16.437005#72.932089
ZVO-4078-KZG#Sortir 65#-25.82665#-58.593416
JCM-8829-XOJ#Sortir 66#-24.103328#-45.349597
AXT-2258-XSJ#Sortir 67#61.583492#-146.936857
BLK-0770-FAS#Sortir 68#38.280882#-22.521673
ZHB-4811-LGC#Sortir 69#-88.307322#-116.721427
UNS-1307-LRS#Sortir 70#82.357723#-7.494364
NWI-1376-AVZ#Sortir 71#-55.579808#79.307592
WWC-5891-IEW#Sortir 72#12.191434#64.817247
LMR-5172-ZAF#Sortir 73#-40.3382#-83.251821
YCH-5405-UXP#Sortir 74#73.541035#142.420803
NQM-5888-VSF#Sortir 75#-87.559405#126.256177
KHP-2862-KAX#Sortir 76#54.452112#77.107562
ZBB-2181-FLI#Sortir 77#37.609728#-113.619644
AJC-3595-TPF#Sortir 78#36.550902#62.39626
OWF-1828-ETS#Sortir 79#-61.30033#-161.286914
LVR-1875-QNZ#Sortir 80#21.352565#175.141302
SYK-4849-JWT#Sortir 81#-61.924977#-48.845088
QZQ-2603-LWH#Sortir 82#81.93395#-164.092319
BJR-9410-MYU#Sortir 83#-83.367072#-153.104923
PUK-7800-DDV#Sortir 84#4.886686#-74.090173
CRV-5262-GUG#Sortir 85#14.076691#-75.60079
VLV-4539-OBJ#Sortir 86#-44.520928#-60.011385
LWX-3821-VZD#Sortir 87#57.608291#-174.07907
ZZM-6682-YUL#Sortir 88#-22.572898#144.991144
ETI-5034-BUV#Sortir 89#-74.193816#-80.117078
RLA-1272-ITC#Sortir 90#72.451006#7.243704
LBX-5219-VDQ#Sortir 91#-7.569314#129.559168
RSM-9463-RMT#Sortir 92#-60.30117#141.770904
XBV-2159-LTY#Sortir 93#17.222713#41.917362
VJD-5872-RHS#Sortir 94#1.234763#117.786628
YCR-4799-UCY#Sortir 95#-46.524213#179.433947
GMN-9052-EPH#Sortir 96#-41.21092#-139.317849
ZVJ-0306-FGY#Sortir 97#-59.31042#-94.47058
FOC-0094-HUY#Sortir 98#77.414643#-91.324843
RYS-3538-LGP#Sortir 99#-51.909677#94.247845
PKY-2756-FZN#Sortir 100#-23.232259#-127.13211
BYK-2539-BHD#Sortir 101#45.562097#-124.111667
JJX-6845-KAN#Sortir 102#-40.308161#-24.571522
IXJ-5138-JEA#Sortir 103#-71.537949#156.134327
ZPA-4852-PCB#Sortir 104#-64.51784#-85.416799
ETH-0926-IBZ#Sortir 105#19.157783#129.340648
IOH-6113-YHQ#Sortir 106#-19.39192#29.174551
HMQ-8267-IBH#Sortir 107#-40.299779#-126.998737
JSC-6281-REI#Sortir 108#-71.013584#143.748157
YIJ-5858-PML#Sortir 109#41.909763#59.457857
YUS-5198-MHQ#Sortir 110#-66.630885#-37.689343
IIP-3970-GMP#Sortir 111#-47.307279#21.475685
NXB-6116-QGZ#Sortir 112#-88.416023#-125.633549
WFX-6611-KYL#Sortir 113#-77.841962#85.255722
SOO-2472-UPL#Sortir 114#10.253017#70.602756
QUA-6834-YMI#Sortir 115#1.215816#-124.913134
KFW-0241-KLU#Sortir 116#-88.089956#90.444639
XTU-7148-ALU#Sortir 117#-85.580446#68.97472
VIH-1644-CBH#Sortir 118#82.676061#-149.838557
VDN-6356-VOX#Sortir 119#-78.492528#-61.804105
PXZ-5285-SSZ#Sortir 120#-68.340647#-73.38209
AGS-4973-YIY#Sortir 121#86.687205#26.630792
OJB-1611-WXE#Sortir 122#68.117627#50.839443
TCX-1654-MWD#Sortir 123#11.049604#-28.529957
URX-5045-LEG#Sortir 124#-32.140267#82.2654
CXX-9368-CHD#Sortir 125#60.945641#139.750736
SXE-0862-DYT#Sortir 126#-30.146365#6.628946
KBC-7430-FDV#Sortir 127#54.214994#176.30288
OHS-5830-ZKZ#Sortir 128#13.612501#-142.032496
NEY-5670-RBL#Sortir 129#67.220914#-150.042051
TWG-9898-CGY#Sortir 130#-64.450325#-63.72827
XGZ-7758-UEH#Sortir 131#-10.280618#-7.034645
GPT-6684-UFX#Sortir 132#-20.059047#-149.85846
ABC-1952-UHW#Sortir 133#-1.55075#171.872155
MQT-9633-SED#Sortir 134#84.232677#-98.131305
CQJ-7866-DHK#Sortir 135#-34.139327#-53.06184
VNM-1163-MJZ#Sortir 136#73.800945#140.116768
WSI-0132-RWX#Sortir 137#-10.325159#30.077803
XTJ-7751-EGL#Sortir 138#14.201831#-75.163681
HEM-2087-XUH#Sortir 139#-29.711643#84.867595
SFI-5533-CYI#Sortir 140#-6.814197#-121.503802
EBR-0548-HAZ#Sortir 141#45.933969#40.099164
JQW-8300-NOD#Sortir 142#-48.648556#8.936443
OLS-1376-YXH#Sortir 143#-71.708978#96.724563
BIK-5077-JHD#Sortir 144#9.852064#-54.292001
FFK-8246-AZH#Sortir 145#17.46922#0.85376
ASV-9158-XVK#Sortir 146#67.779237#82.796489
FGJ-3796-DAY#Sortir 147#-15.897151#-42.830869
LHE-1312-HCK#Sortir 148#-17.956951#27.598451
FCK-5042-DNC#Sortir 149#31.272765#111.414011
TNB-7192-ELH#Sortir 150#8.53501#144.657199
TQV-5634-IQG#Sortir 151#-77.68158#-32.87336
IYX-3640-PSZ#Sortir 152#75.684707#93.347103
TDF-4251-MQI#Sortir 153#-19.375483#3.019357
DMM-4995-BWH#Sortir 154#-19.816696#88.008832
DKR-0139-TYE#Sortir 155#32.713372#77.466183
CRF-5254-ZAA#Sortir 156#-47.781052#118.531381
BTR-5689-MMA#Sortir 157#56.342956#-23.224087
DCM-0059-AMW#Sortir 158#16.931578#-147.350226
POX-2047-ZLR#Sortir 159#-44.295973#-157.336051
YMM-4656-LQZ#Sortir 160#-78.928236#89.394644
RPC-9206-DKG#Sortir 161#19.578189#35.325659
UPK-7929-IPW#Sortir 162#38.11059#-49.631948
PXO-8716-RIT#Sortir 163#-34.342967#-144.331224
BVK-0984-TAM#Sortir 164#-31.684477#-109.425588
ORI-5549-EQS#Sortir 165#8.600387#-147.01109
DRE-0867-TIP#Sortir 166#-4.741276#114.549055
JLE-5222-YWJ#Sortir 167#43.8927#-20.958561
UTX-6215-OCZ#Sortir 168#-26.738307#34.503705
RPW-3735-NHZ#Sortir 169#18.580433#-60.44767
VKL-4743-WXR#Sortir 170#-72.908993#170.328314
EJM-5109-LQR#Sortir 171#-62.774988#124.891572
USB-4506-CON#Sortir 172#-7.480014#60.663887
OML-2550-FPF#Sortir 173#54.378339#106.526634
YEC-1909-WIW#Sortir 174#-30.790047#-82.999446
IPT-1999-GPS#Sortir 175#-56.232087#-66.828781
DGE-8783-WXU#Sortir 176#17.006893#-64.566559
WPV-6246-YXO#Sortir 177#-3.067307#119.906744
PCI-2822-PYL#Sortir 178#88.72687#-91.040104
PNB-9148-BUF#Sortir 179#17.282801#55.720136
KEM-3471-CPZ#Sortir 180#-42.476896#80.749203
ZOL-4533-FPB#Sortir 181#-37.227874#-149.285763
XDN-4579-XEJ#Sortir 182#23.232817#-22.045134
LAF-1523-MAS#Sortir 183#30.919188#-147.003096
VXY-1810-JCO#Sortir 184#15.567719#117.894324
YIK-3391-GVI#Sortir 185#-72.679071#-19.3911
TDE-3593-ECY#Sortir 186#-42.808753#-54.797013
ORZ-0821-OKX#Sortir 187#69.261606#-6.973826
EGT-4598-SZH#Sortir 188#-54.65099#-57.786268
TZQ-3466-NXK#Sortir 189#49.029619#-157.60927
MTD-3772-JRV#Sortir 190#63.669692#139.075869
XPP-5941-SWN#Sortir 191#66.609835#-25.144091
HAA-8569-CXP#Sortir 192#78.748335#-166.745525
OFM-9332-UWP#Sortir 193#-34.327052#113.158932
SIG-0048-EDO#Sortir 194#14.631205#-37.666368
GUY-7097-TBJ#Sortir 195#-29.733953#106.519322
FYX-7013-YXW#Sortir 196#-47.724085#-126.736631
MME-1379-TWT#Sortir 197#-84.686377#-125.461201
TAS-6698-SOO#Sortir 198#18.64005#-62.644716
XUV-0478-NPP#Sortir 199#23.110097#179.921233
VIF-3382-NJH#Sortir 200#36.563192#-77.234073
LPS-6477-LUS#Sortir 201#80.951296#-142.883367
PSD-8443-XNK#Sortir 202#-50.919041#-104.856553
MTZ-8472-XRD#Sortir 203#-57.789513#118.379086
NNN-8432-USV#Sortir 204#40.351183#120.816774
QLN-9372-WOP#Sortir 205#14.188137#-42.421294
BGL-6106-XHO#Sortir 206#82.348123#-167.086689
FLN-7606-NBX#Sortir 207#-81.906386#-15.820744
ZKZ-2467-FIN#Sortir 208#65.585329#-84.372345
YHQ-0374-EMF#Sortir 209#26.181123#83.913204
WRG-9466-HMG#Sortir 210#25.919187#-51.454869
XQM-9721-LON#Sortir 211#55.129501#59.935909
NQM-8761-NDH#Sortir 212#-67.23599#3.937411
WUC-4547-YNL#Sortir 213#16.459321#73.228184
HEK-2963-AHO#Sortir 214#41.248597#-40.265207
MEZ-8683-RAW#Sortir 215#10.193229#-72.85039
BZG-8988-UWB#Sortir 216#-31.900566#-12.245778
NIN-5793-TKC#Sortir 217#-42.254123#-124.026366
SEM-4890-QOH#Sortir 218#17.410382#-167.35725
UOM-2760-WLG#Sortir 219#49.312401#113.745235
PXK-3092-RDL#Sortir 220#62.746795#-153.671201
YLZ-7609-RAR#Sortir 221#-70.252824#158.210746
VCR-9203-FPZ#Sortir 222#30.68303#-53.755937
FXC-6016-HET#Sortir 223#-82.729134#54.310216
FPZ-4667-QJO#Sortir 224#10.021402#72.552371
VDR-6067-LUN#Sortir 225#88.211919#79.693268
MKR-3744-LJE#Sortir 226#-13.43717#-91.422486
RNI-5380-YFW#Sortir 227#25.255#-138.625298
PZJ-9284-HUA#Sortir 228#-74.702926#-8.396949
BZI-3455-SWB#Sortir 229#-18.243205#85.743406
XJD-7511-ZAP#Sortir 230#37.693141#46.252695
HES-4016-TIX#Sortir 231#-36.492922#-73.620648
HQO-0560-GTJ#Sortir 232#17.346765#174.088064
SAT-8697-CBV#Sortir 233#40.918785#144.087708
KTU-9769-KSP#Sortir 234#2.261521#-105.795116
QVN-0235-UTJ#Sortir 235#-87.189231#-92.539468
AOH-5119-OXX#Sortir 236#-29.85706#106.327837
FIT-6770-FUI#Sortir 237#60.218216#157.140661
VYK-3484-TIM#Sortir 238#73.234391#-95.672364
VUT-2710-UOA#Sortir 239#-10.561536#-137.331149
PPE-7345-NAK#Sortir 240#33.707437#-56.838667
CNZ-8782-XWF#Sortir 241#-75.15594#36.764516
JER-7322-SUW#Sortir 242#-6.062375#23.001873
PTQ-5496-ZWA#Sortir 243#-89.604035#-11.04216
NDV-2872-SAX#Sortir 244#-54.230813#-85.531059
IJG-8189-OFL#Sortir 245#26.838271#169.408887
DIE-9859-YZQ#Sortir 246#43.454817#-126.186298
PVR-3244-YIU#Sortir 247#-40.152154#-71.522506
MVO-7693-BTJ#Sortir 248#20.149716#-26.874407
OGD-4370-TAU#Sortir 249#-32.016579#71.882913
CCL-5184-PEQ#Sortir 250#32.619678#11.249578
FDN-7579-VBQ#Sortir 251#-80.738016#-80.59884
WHM-5205-CFF#Sortir 252#36.003796#-81.38378
VDW-1751-WDU#Sortir 253#-25.576148#-106.455787
PKW-3489-KSJ#Sortir 254#-10.227#-51.585495
VXR-0745-XID#Sortir 255#-63.22633#94.075983
VZW-5705-YRN#Sortir 256#50.482491#143.101165
FPH-0232-KIS#Sortir 257#6.333914#38.908618
BHO-2894-KGC#Sortir 258#-50.635691#-56.356681
YHA-3554-EOI#Sortir 259#-48.969574#123.911272
BCZ-3598-YRN#Sortir 260#7.818899#-96.623408
CEY-1390-BVA#Sortir 261#82.142993#-114.951676
UFW-2039-JSI#Sortir 262#88.831055#59.353669
GTF-8630-XHW#Sortir 263#47.274791#57.395605
YYE-6251-ZAR#Sortir 264#-67.569624#31.989743
EPS-2938-LES#Sortir 265#-44.72986#38.151356
IVS-7479-SDL#Sortir 266#59.805875#-80.60493
TBJ-9209-DFU#Sortir 267#-17.356006#163.801822
YAR-6320-CZM#Sortir 268#-7.045085#155.970632
HIV-9280-BHJ#Sortir 269#-31.924492#163.712473
WOE-5361-SZB#Sortir 270#54.405088#-115.719722
DCH-5595-ODC#Sortir 271#-2.158741#109.804087
WBA-2294-VCX#Sortir 272#80.449877#98.130161
HHR-9742-IEI#Sortir 273#75.311821#23.484301
PQI-0421-WGG#Sortir 274#58.381733#-5.276299
EDE-6373-KVG#Sortir 275#39.503692#-80.626598
BKG-7620-CKJ#Sortir 276#-53.700795#-128.822729
ZXR-7099-UAX#Sortir 277#12.072062#64.084165
MUP-8885-FCF#Sortir 278#-26.915448#-64.905971
QXF-4246-JGJ#Sortir 279#-34.140797#114.119217
CBV-1876-THP#Sortir 280#8.781104#-82.762488
MBV-0575-HIC#Sortir 281#50.616619#-154.99999
RGA-3598-QCO#Sortir 282#-13.376817#57.909555
EMO-9795-QYB#Sortir 283#15.351912#20.926167
NYR-3874-QPD#Sortir 284#-1.009052#-55.961412
LCZ-3667-FHB#Sortir 285#22.639764#-175.277364
SUK-6447-TVG#Sortir 286#-42.959255#155.861882
ARS-9793-PGI#Sortir 287#-67.165921#-84.052169
PXV-0646-BTM#Sortir 288#-28.888608#15.890713
EWB-5449-QSA#Sortir 289#-27.267972#44.531719
EJZ-5552-SBS#Sortir 290#16.79159#-17.28085
GTV-0865-NHW#Sortir 291#37.074471#67.304194
RKA-9221-DYH#Sortir 292#87.868653#-97.858758
SOW-9488-BUP#Sortir 293#9.945933#128.482499
SNF-9072-XFI#Sortir 294#-55.45912#53.480044
GPN-2389-IUQ#Sortir 295#-37.514903#70.432855
ECU-3118-BKR#Sortir 296#70.505049#-165.22525
MUA-0459-ZOC#Sortir 297#-9.499991#-110.659454
JWU-0447-WBS#Sortir 298#-4.326306#16.128359
MVM-7531-FKR#Sortir 299#3.184584#-151.222862
XTD-7165-XXQ#Sortir 300#15.925227#-56.081762
CZW-7397-FUP#Sortir 301#-26.297197#-56.209794
ZNT-0867-ZKM#Sortir 302#30.106568#19.783343
AVQ-1439-XJZ#Sortir 303#17.330965#96.169254
KMV-4514-DGR#Sortir 304#43.506772#86.551919
AVE-1694-VPS#Sortir 305#-56.9736#-58.127439
DVZ-4961-MPQ#Sortir 306#-25.293595#-116.896122
FXS-2218-FWK#Sortir 307#20.375298#88.899696
RNW-6099-SUE#Sortir 308#58.024288#48.161192
BVQ-2197-GCN#Sortir 309#-46.366856#35.584952
PTF-5188-DBO#Sortir 310#-68.207611#-163.262364
YYA-2104-WPO#Sortir 311#-14.801803#97.487924
RMG-8296-IVQ#Sortir 312#-54.104043#-26.217776
CKA-1146-WMF#Sortir 313#49.235024#2.72054
KEL-0686-MKO#Sortir 314#30.805918#104.169367
TIU-5238-DGY#Sortir 315#10.644294#-137.947408
REB-6502-YZY#Sortir 316#-73.146602#-125.736791
ZYM-2872-XBY#Sortir 317#43.947221#-76.571605
NJJ-2247-ZDX#Sortir 318#3.526363#172.306646
DWT-0117-FEV#Sortir 319#-53.277198#-157.80697
EOR-2125-ULE#Sortir 320#24.805605#-72.396854
ENC-7317-XXO#Sortir 321#-66.516316#-40.847327
CUT-3514-QBC#Sortir 322#-22.663737#-96.906648
ZJI-8810-VYR#Sortir 323#-33.405281#176.901609
PUO-5954-LDC#Sortir 324#-33.421187#154.582512
PXA-0366-YFJ#Sortir 325#68.092567#-170.254999
XWW-0139-CBW#Sortir 326#49.631925#105.575907
JBT-7643-FVK#Sortir 327#81.851209#-165.097889
FKW-6876-QBC#Sortir 328#-81.804458#48.658638
XBJ-7470-RTP#Sortir 329#23.374291#90.351644
MET-9739-HOF#Sortir 330#65.500485#131.833022
BGW-7989-NPE#Sortir 331#66.563211#-152.613483
XRU-8308-MRP#Sortir 332#-15.831925#71.83784
TXN-3389-IJZ#Sortir 333#-75.112249#160.139798
GAF-8883-LMB#Sortir 334#27.044348#-100.157068
ENR-9500-MSQ#Sortir 335#-50.285114#111.411944
CPI-6025-ICZ#Sortir 336#-48.136605#-3.247384
UWO-0392-RKN#Sortir 337#33.051084#-134.685927
GPI-5901-WUS#Sortir 338#-55.158738#81.48754
PHP-0555-CRN#Sortir 339#-71.886488#-49.83488
AKR-6232-MQM#Sortir 340#-16.050486#-19.726092
UHT-8384-LDD#Sortir 341#-84.545553#-83.37837
TFO-3938-LND#Sortir 342#-63.119928#111.832415
SWF-9644-XRY#Sortir 343#-81.668965#118.234926
HJR-2716-FYT#Sortir 344#-85.205856#77.699969
HHM-9681-EHG#Sortir 345#58.030219#130.299218
URE-8826-PGO#Sortir 346#-16.495388#-104.802321
QLC-6529-IFU#Sortir 347#74.365414#44.416973
FNB-8375-JQF#Sortir 348#10.298693#-0.027996
VIY-0275-TIY#Sortir 349#76.934683#-122.614536
DRJ-2644-FSH#Sortir 350#-64.196178#9.62776
HFL-4957-SAD#Sortir 351#-77.213677#157.310018
EGF-0413-TEW#Sortir 352#-11.364359#31.491233
LAC-5773-AZU#Sortir 353#-74.491312#-165.484679
OMS-4397-SBQ#Sortir 354#-88.880867#-15.834227
PIM-7531-KPY#Sortir 355#-13.276963#-104.742767
LMO-6367-PIH#Sortir 356#-73.052465#149.67128
BUR-3052-RKG#Sortir 357#-16.655771#-20.946059
JJN-3412-POE#Sortir 358#-32.23#-76.257872
YQW-4752-RDH#Sortir 359#30.40099#-113.630072
PGM-0339-JJX#Sortir 360#-30.373974#172.787769
NLR-4519-BUC#Sortir 361#53.721287#-6.358682
TEY-1311-FLA#Sortir 362#62.063275#-96.282683
AJP-4273-WIS#Sortir 363#-37.9743#116.417619
CVS-2941-YEI#Sortir 364#-11.712744#-40.16303
ORE-5600-ZGQ#Sortir 365#59.089611#-110.558436
USE-9260-SMM#Sortir 366#14.949989#-122.445044
KSZ-4947-TUD#Sortir 367#-49.191841#120.545097
PUN-8358-CLF#Sortir 368#-73.368779#115.212714
SCF-8703-AET#Sortir 369#-8.928377#-178.992328
JQG-0606-BXU#Sortir 370#22.459242#-152.328712
ARL-2490-PMO#Sortir 371#48.470599#-93.431137
TEC-5059-AJL#Sortir 372#-25.64981#-17.655327
KDG-4841-HPA#Sortir 373#-78.203219#171.598674
BCT-1646-FEE#Sortir 374#82.432479#-7.834308
PAA-9857-EPJ#Sortir 375#11.945339#-17.332872
DUJ-3369-LDU#Sortir 376#-53.389422#-129.496731
WIW-9188-PYG#Sortir 377#-4.953184#-71.6881
YCU-1441-ZQR#Sortir 378#72.054926#139.328614
LWE-9243-USB#Sortir 379#13.80313#114.193406
NBK-7006-GJB#Sortir 380#71.433557#-148.822819
BBG-5910-ARG#Sortir 381#12.765707#52.259896
NLL-5613-VVP#Sortir 382#13.485855#-87.786011
GQK-6734-MDG#Sortir 383#40.348988#148.948248
AEQ-2338-KRD#Sortir 384#65.694247#94.293939
KUC-5467-KWR#Sortir 385#-68.611232#-169.891091
OMO-6626-QPD#Sortir 386#-44.644587#-165.732951
AHG-8343-AFM#Sortir 387#13.615853#179.130247
MSN-5754-JYT#Sortir 388#-83.05226#52.29887
HVH-2289-RII#Sortir 389#43.029819#-66.625727
JNZ-7110-BSE#Sortir 390#54.416094#84.596874
XBP-0397-IJQ#Sortir 391#83.366052#-165.08602
HYU-6067-VNJ#Sortir 392#50.402003#39.220102
TFG-9721-XIE#Sortir 393#-59.788904#-160.788405
TGY-8633-BCL#Sortir 394#-2.808403#-61.138917
MOH-7303-EXN#Sortir 395#88.738256#-3.384412
FFO-7463-IDP#Sortir 396#-66.681785#6.696242
MRZ-4649-GFD#Sortir 397#-3.506889#-42.568154
BFI-3556-RCK#Sortir 398#-77.294935#94.981139
ZYM-3956-DTA#Sortir 399#11.661474#-101.708766
JDF-2624-JQX#Sortir 400#35.396103#-9.611508
RJP-8237-RQT#Sortir 401#-25.809508#-38.037865
LNH-3852-QWL#Sortir 402#31.496195#-69.970111
MFB-0039-NZS#Sortir 403#47.544532#77.825868
PQK-9484-UHV#Sortir 404#-6.121684#94.130142
DBS-7789-RIJ#Sortir 405#13.123374#-17.786041
XZM-2065-VWA#Sortir 406#-79.189326#46.680823
GPJ-7739-QPC#Sortir 407#-19.249025#98.307698
OBJ-2017-YEE#Sortir 408#55.476792#-159.31482
NKN-6463-CJL#Sortir 409#12.975359#132.277359
PFH-8749-NIF#Sortir 410#39.742298#34.892575
NLQ-1759-QES#Sortir 411#-87.135268#119.532529
NYY-9456-KDV#Sortir 412#34.555874#146.978062
UWR-2302-KRV#Sortir 413#76.822729#-64.418389
DCI-3529-NPM#Sortir 414#-4.023048#-177.966446
QFN-1113-XFM#Sortir 415#57.088205#126.508585
XSJ-7442-ZYD#Sortir 416#46.108135#-172.888785
NGB-3134-AHH#Sortir 417#35.684258#-70.594897
DOD-5282-OET#Sortir 418#-77.384497#-9.173274
KAV-7603-DVV#Sortir 419#22.263238#5.329747
VVQ-0655-MNS#Sortir 420#84.536029#47.401985
MNF-3044-TUA#Sortir 421#-55.305464#-72.810219
ADO-9098-HCF#Sortir 422#-0.304183#160.6232
HNM-6747-GXE#Sortir 423#-75.868443#86.152304
HUL-8127-QIW#Sortir 424#4.499775#-24.240415
HAC-6428-YTH#Sortir 425#80.988216#-110.659515
CJH-8464-ACN#Sortir 426#-5.04683#67.207595
IRC-7110-YMH#Sortir 427#38.863418#99.615389
YKZ-7918-EDR#Sortir 428#30.514565#11.767496
BPH-3885-KGB#Sortir 429#31.214637#-121.123872
RQA-4652-SNU#Sortir 430#-28.228945#30.259082
JLU-0113-SID#Sortir 431#-64.742919#-132.404364
TYV-8184-EYG#Sortir 432#83.772762#122.160374
MPW-3458-YAJ#Sortir 433#-12.544999#105.390128
ZXO-7771-HRS#Sortir 434#-40.399837#169.588197
PTF-7060-UMP#Sortir 435#-13.19308#42.206982
CDL-5506-EPY#Sortir 436#-28.404716#-150.644341
IZN-5596-EFM#Sortir 437#-33.968164#163.665991
NSS-5057-VZO#Sortir 438#-66.243655#116.362365
YXR-4567-WNG#Sortir 439#35.270497#178.155497
PVA-9791-HTF#Sortir 440#-3.993166#-158.474998
VDQ-4800-VZY#Sortir 441#36.486948#-27.089789
USR-8937-XRX#Sortir 442#60.270539#111.036168
IIS-3754-RMS#Sortir 443#19.323792#63.579803
QOF-8805-GHE#Sortir 444#-83.209897#56.990353
BQQ-4002-BXX#Sortir 445#33.28957#78.565174
CUL-6293-UET#Sortir 446#57.360918#73.778667
RDZ-2340-UMF#Sortir 447#-89.387296#157.235487
NTP-8536-RZS#Sortir 448#-68.445181#117.032131
OIU-1937-RNU#Sortir 449#85.692602#43.099557
ZFZ-1463-JDM#Sortir 450#48.055962#-8.990546
UKA-6048-TLW#Sortir 451#-71.110355#-27.811967
OZW-9834-PYG#Sortir 452#-15.335773#-14.723205
HDY-5434-ELW#Sortir 453#17.364493#-151.319093
RGK-8471-HVK#Sortir 454#34.263209#-125.980285
VTX-5993-MRJ#Sortir 455#-7.393782#170.536983
QHQ-9356-GWG#Sortir 456#52.093054#28.367195
FBO-5591-CXH#Sortir 457#48.182032#-79.847093
BOB-8368-AWG#Sortir 458#87.681492#113.307776
LMH-8024-EIH#Sortir 459#-17.045387#178.041627
SUP-2601-ZYG#Sortir 460#-61.370277#53.586276
IKF-7596-JHP#Sortir 461#-3.773989#-123.707745
MTM-6115-GRU#Sortir 462#-73.246295#-35.467648
KPF-0672-RAV#Sortir 463#-67.779231#-60.289153
PDH-3897-ZXZ#Sortir 464#36.657277#-29.14396
EWK-4510-ODC#Sortir 465#53.225192#-13.547971
RBD-8017-FEV#Sortir 466#24.959474#-23.918167
JSP-5334-KWQ#Sortir 467#-57.952063#-12.234129
IWS-4637-QTE#Sortir 468#-26.593369#24.28683
BMZ-3500-HMT#Sortir 469#22.953623#-151.046738
YTQ-7357-ZMM#Sortir 470#86.282422#-142.86483
ENR-4599-LEQ#Sortir 471#-0.543198#-65.656576
LEW-9370-DBB#Sortir 472#68.354799#114.287229
IPG-7444-POC#Sortir 473#-41.965266#73.545712
JUL-6893-SUL#Sortir 474#6.675257#161.529281
WKM-0200-MZV#Sortir 475#23.937614#-155.645552
JXD-1672-MXD#Sortir 476#-71.66927#44.054945
PWF-8642-QGL#Sortir 477#57.368367#-3.630671
