JQX-4025-QVY#Sortir 1#12.770215#61.139949
RYC-7050-XAZ#Sortir 206#-66.325526#-179.759129
JPM-8080-LCV#Sortir 207#-71.843033#-104.624819
ADU-3471-EWP#Sortir 208#62.529915#68.553123
RZZ-1556-JSO#Sortir 209#-12.509339#135.930398
VAW-2707-ZXZ#Sortir 210#51.109572#15.461923
SQL-6287-GTO#Sortir 211#-26.498254#147.19152
HGQ-3393-EFP#Sortir 212#-19.491443#-51.171313
VAH-3759-XUJ#Sortir 213#-3.857793#93.157744
POY-1172-ZGJ#Sortir 214#46.247315#80.343478
BXJ-8091-LVY#Sortir 215#-76.41194#-111.756344
QPP-2024-EJK#Sortir 216#-28.270636#48.253712
VWT-8325-YZP#Sortir 217#69.742123#9.535651
OXP-8891-JZC#Sortir 218#-70.42761#-162.202621
BXX-6099-CET#Sortir 219#-54.344572#91.892266
DIV-3783-JBK#Sortir 220#-67.773251#-84.91464
UYN-1059-LBE#Sortir 221#43.692004#-163.004648
JXB-1804-UMS#Sortir 222#83.582879#-173.666916
KWQ-7493-ZQK#Sortir 223#72.237545#-142.405704
GVN-8102-SVZ#Sortir 224#20.836088#88.259204
JIW-4561-SPB#Sortir 225#44.453936#125.595475
ITL-3207-YRJ#Sortir 226#-84.565486#-138.559519
NNR-3930-LDQ#Sortir 227#-12.727316#157.575505
LFG-5549-YMF#Sortir 228#-85.158891#-81.946524
CYI-1495-AUN#Sortir 229#-39.069234#-165.106601
VDB-1905-MZL#Sortir 230#37.096373#-49.140878
BBH-5637-ACR#Sortir 231#17.216839#5.262467
DEO-0661-XMI#Sortir 232#-83.646957#13.947141
UVD-1992-APZ#Sortir 233#-66.42912#-165.483074
RQI-0574-TTD#Sortir 234#83.957256#122.537473
XLV-2662-ZCR#Sortir 235#-8.376402#172.44881
VDR-8198-CSZ#Sortir 236#56.438167#55.292582
GIA-8671-KJD#Sortir 237#58.836779#-63.903403
TBX-3174-LBC#Sortir 238#-45.976691#15.21544
BHT-8866-XWW#Sortir 239#-4.812516#169.283558
LPA-2690-FCE#Sortir 240#48.771907#69.523997
OUG-1868-MNO#Sortir 241#-58.928811#10.930987
MRO-3679-VVG#Sortir 242#-48.706763#-149.966524
YEE-7169-VEU#Sortir 243#69.125185#-36.463986
IAG-6454-UWK#Sortir 244#-81.232906#18.404403
OWS-3400-EPI#Sortir 245#18.427112#-101.500644
MPR-6767-RDV#Sortir 246#-72.501662#-15.606925
NUZ-7071-LLL#Sortir 247#-38.939336#-47.185193
BEE-9920-ZVV#Sortir 248#-46.321657#-117.247048
IVK-5348-IKU#Sortir 249#11.323862#153.828567
XWE-7918-BUD#Sortir 250#-84.787018#-6.619243
OPL-8889-EPQ#Sortir 251#-15.691892#-5.885848
SCL-2912-HZZ#Sortir 252#39.713158#27.310072
HPO-2027-SZW#Sortir 253#-21.703688#6.123361
RJZ-6880-SBM#Sortir 254#40.021636#30.100726
UZL-1427-OWC#Sortir 255#12.58318#74.858587
PIQ-9111-EZU#Sortir 256#33.017252#-0.148074
GWS-6417-YPX#Sortir 257#36.790199#172.007152
UWZ-3610-GEZ#Sortir 258#-57.000343#156.254022
GJQ-7156-UXG#Sortir 259#-10.94071#-174.132188
THJ-5750-PTI#Sortir 260#56.599101#-119.265959
CYN-0057-JRX#Sortir 261#33.381926#-161.069023
WSH-8111-OMX#Sortir 262#38.009465#-122.110778
OZN-7219-MEQ#Sortir 263#75.665298#156.436098
IPC-9245-IWO#Sortir 264#-35.526418#66.344892
CAW-5086-RVW#Sortir 265#-45.285357#18.573448
ZUK-8363-ZBJ#Sortir 266#30.076579#64.697035
ULD-6494-GAK#Sortir 267#83.409503#-176.541669
PCO-8959-REQ#Sortir 268#42.771439#-171.386809
YVR-2346-XNG#Sortir 269#65.601997#109.050309
DRC-9586-IKK#Sortir 270#-52.597394#102.184777
QEP-7799-YPA#Sortir 271#68.298029#44.481917
FBL-2378-NAA#Sortir 272#-82.272508#39.058168
KRS-4567-USU#Sortir 273#-79.853188#-131.692619
MEH-2703-HDN#Sortir 274#-77.827703#101.031894
CQB-5862-YFB#Sortir 275#-79.051622#-49.194288
OWB-9762-UQT#Sortir 276#-14.909241#45.989821
SQQ-5204-BZF#Sortir 277#-66.523088#-125.062602
EUO-4358-JRD#Sortir 278#6.187295#-97.676733
PKM-7657-EZC#Sortir 279#38.196362#117.866787
GQX-9324-JHX#Sortir 280#77.82006#-96.122159
VKO-5531-XRY#Sortir 281#79.577983#-42.278996
LTC-0145-XXP#Sortir 282#-5.462549#-139.514656
BOE-1278-CVD#Sortir 283#-68.084557#29.828185
BLS-0982-XOX#Sortir 284#72.218248#76.591924
PYD-9699-XMO#Sortir 285#-0.965229#74.9043
LKG-6052-LYI#Sortir 286#16.471103#-55.013617
FDU-5090-YOZ#Sortir 287#28.834391#-77.22897
DHS-3330-ERS#Sortir 288#71.869767#-172.81407
EEG-6196-DJK#Sortir 289#-55.251459#49.878617
YNX-5669-TEI#Sortir 290#28.489129#61.300177
JLG-5556-BBO#Sortir 291#-47.167351#155.409549
KPL-1164-CPM#Sortir 292#-15.959913#-149.071228
YIJ-6069-WJY#Sortir 293#10.443963#171.243926
AUI-0791-KZE#Sortir 294#-50.660721#66.08982
XPI-2055-HTJ#Sortir 295#-23.218944#-148.370748
ZKO-1387-KZL#Sortir 296#57.658566#168.832421
FOZ-4218-WNG#Sortir 297#-40.245768#-163.442936
TCE-6379-RNS#Sortir 298#-28.909283#-15.302175
FWQ-3736-SQL#Sortir 299#7.203366#1.68075
EOV-7654-LTV#Sortir 300#30.281043#168.182422
ZID-4537-ZXL#Sortir 301#82.231174#68.691085
GAU-9400-VPV#Sortir 302#33.015613#-32.166271
IHY-6970-SFP#Sortir 303#-21.671292#64.78862
OST-3759-BET#Sortir 304#14.451377#179.77172
QBX-1662-KKS#Sortir 305#72.102913#-49.101417
VMA-9288-XSK#Sortir 306#-82.139097#121.598421
ESE-4383-SPS#Sortir 307#74.603613#171.682998
DOI-4665-ZYV#Sortir 308#16.466235#-46.412863
UUP-2547-XMF#Sortir 309#-46.036268#61.646018
UAE-7574-EVP#Sortir 310#36.281169#2.303253
GQX-0884-JCL#Sortir 311#52.000405#-44.262678
TUR-8064-IOT#Sortir 312#-46.283086#114.70437
SDR-0101-GXR#Sortir 313#-81.136799#93.718579
NVR-3294-PGG#Sortir 314#-38.448354#114.112408
YGJ-0296-LMA#Sortir 315#69.303232#-131.987052
ZYW-5210-OXC#Sortir 316#-33.356956#19.075692
UNN-2974-BCA#Sortir 317#-53.639957#-166.653537
AVW-5792-EOJ#Sortir 318#73.429463#35.246432
LMI-1036-XMB#Sortir 319#-27.504124#-152.513799
EEE-5266-VRA#Sortir 320#11.231683#95.238105
HAL-8612-NZR#Sortir 321#-1.52404#-29.08163
GLX-9567-LBO#Sortir 322#-57.758888#75.705431
SLS-3449-NEP#Sortir 323#-84.666116#140.858216
CXG-9746-UBX#Sortir 324#-1.754815#167.007486
QFE-4859-PBN#Sortir 325#-83.814638#33.406606
UQO-2649-KXN#Sortir 326#-20.99342#-178.323301
JZH-0369-WWL#Sortir 327#-18.479313#164.659114
ZNG-1330-BDA#Sortir 328#-83.623739#-18.51047
PGI-6338-EEE#Sortir 329#-26.989856#26.019271
RMV-5655-AXE#Sortir 330#-50.044549#41.964477
TDM-0314-EDX#Sortir 331#52.756747#92.35863
FGO-9339-OQZ#Sortir 332#22.644225#102.214181
QCR-9697-WCR#Sortir 333#-71.642339#-8.178789
MVI-1195-TUC#Sortir 334#-19.985194#-14.567692
LFS-2327-TZD#Sortir 335#-70.798451#162.844998
GMO-6770-MGI#Sortir 336#50.928923#57.30178
WOS-6390-PWR#Sortir 337#-58.1676#120.921386
SSP-0302-JLA#Sortir 338#86.646516#-164.321847
CGT-2178-MTV#Sortir 339#50.789805#-92.418719
JHZ-1729-XRR#Sortir 340#-75.418868#-97.657823
EDB-0086-NII#Sortir 341#76.678628#-48.419352
AVY-9990-FVV#Sortir 342#-27.333086#125.882696
BHZ-0647-CXZ#Sortir 343#24.977437#-94.037167
DFL-9452-PSL#Sortir 344#-51.055245#-105.976048
TNY-9718-FRI#Sortir 345#-72.902279#-144.037468
BSW-6993-EEY#Sortir 346#-16.689318#121.148031
QQF-1297-PUH#Sortir 347#-65.121252#-167.934206
ALZ-1989-GJC#Sortir 348#-11.92114#-174.76187
ZNS-6576-SAU#Sortir 349#-17.922077#-151.25523
ZAG-0887-QBK#Sortir 350#37.230182#-70.034284
DTV-7553-WHU#Sortir 351#22.120361#4.035227
BSS-7290-ATU#Sortir 352#17.158584#-58.004845
FER-2660-DAT#Sortir 353#36.496085#-25.475544
YLD-8624-XBH#Sortir 354#-13.570053#35.57047
UEY-2417-WQA#Sortir 355#24.594081#35.983916
BHP-5267-HXI#Sortir 356#-43.215976#113.695175
GAL-4370-EBF#Sortir 357#-65.677818#101.56706
WGB-5347-ZNN#Sortir 358#89.158547#142.284934
JSV-7097-SMX#Sortir 359#-36.750689#57.819965
MYE-3391-YMX#Sortir 360#15.803923#-12.020416
ZZO-2200-FYW#Sortir 361#-53.966993#18.466066
DTD-3419-MKU#Sortir 362#-79.660075#60.030315
EDD-6701-AUK#Sortir 363#-0.92182#122.456798
WGM-7589-OPQ#Sortir 364#-49.386438#-127.158022
CWM-4893-IVR#Sortir 365#-31.637708#178.280746
OKS-1157-GRI#Sortir 366#53.976348#152.790551
QHC-8396-DTK#Sortir 367#56.28217#-179.768072
BBH-0356-IZQ#Sortir 368#74.379387#-155.973505
IUM-5753-OBZ#Sortir 369#30.841255#25.533024
DTU-0590-YLI#Sortir 370#0.330944#121.240745
NPW-6798-RDT#Sortir 371#3.764558#140.776657
EPR-4369-ZPK#Sortir 372#-73.458946#111.082912
DAV-6458-JYU#Sortir 373#16.571642#-24.835165
MAL-2307-JGC#Sortir 374#19.762843#37.81277
LDO-1499-IRE#Sortir 375#-83.768089#31.022663
PVT-9603-FJD#Sortir 376#-84.082941#-14.545896
YTE-8228-XMZ#Sortir 377#-85.004908#18.434594
XSS-4530-UKZ#Sortir 378#75.819982#-153.539984
HWZ-0362-YBN#Sortir 379#-38.240836#-103.054024
HGY-2229-RSA#Sortir 380#25.790267#-126.617318
LME-0864-MCB#Sortir 381#34.801277#58.307103
RSQ-5728-SWM#Sortir 382#85.885501#-179.151245
HHP-6386-UOV#Sortir 383#32.207052#31.733942
FFX-6962-DFK#Sortir 384#-52.516524#-143.781402
BXC-9803-RXL#Sortir 385#21.355138#-158.03279
FNV-1307-UKN#Sortir 386#53.996602#-37.502771
ASI-6811-JGI#Sortir 387#40.197112#-8.793674
MLB-4038-ODS#Sortir 388#50.385921#-22.548814
MFJ-2962-EOP#Sortir 389#15.117188#-2.307451
TTJ-7617-YTC#Sortir 390#-21.09685#-122.506805
ADL-4493-IYR#Sortir 391#-84.580459#-39.323601
HRE-5315-SPN#Sortir 392#-3.128861#-86.227497
QIA-1364-FDE#Sortir 393#-84.723428#-16.744601
QTM-6084-MHL#Sortir 394#29.47068#159.839217
TOR-0520-LQV#Sortir 395#56.674522#-112.699446
NWC-7526-ACS#Sortir 396#-4.235806#-116.617822
WAE-3147-QNG#Sortir 397#67.554969#-146.039349
PPN-0158-TYF#Sortir 398#-80.513408#-36.893703
WFQ-5285-YAF#Sortir 399#67.164192#-59.692546
IZO-6333-ROB#Sortir 400#7.157562#77.984352
AFZ-0589-CWQ#Sortir 401#-6.35551#61.766156
OIJ-8937-TQD#Sortir 402#67.446317#-31.355184
DFI-9191-QCJ#Sortir 403#86.515828#-165.596764
ADB-5613-OXH#Sortir 404#62.739216#-78.050058
NFP-2936-MSX#Sortir 405#-32.76931#-157.769804
GSL-8562-QMG#Sortir 406#-77.915027#80.661635
SRR-9328-HGX#Sortir 407#-55.368979#11.000044
QQV-7197-ZQB#Sortir 408#-53.724185#80.614929
NWZ-1651-HMK#Sortir 409#72.905846#-154.260264
BOW-9566-LDO#Sortir 410#19.082011#-130.637261
ZIE-3483-WYZ#Sortir 411#-36.425386#-161.124462
STZ-8689-IQW#Sortir 412#-84.643587#-5.524076
XXQ-9911-ZUL#Sortir 413#0.15724#-90.901978
FOU-1241-KBV#Sortir 414#36.857528#17.913473
BGA-4741-CZV#Sortir 415#-39.430731#-160.133543
FAN-0573-ZMW#Sortir 416#87.178856#-111.58685
FRU-7505-RTP#Sortir 417#61.973341#82.361627
CRH-5562-ZBW#Sortir 418#-13.401514#-99.908244
DEW-3504-VBY#Sortir 419#-82.322246#121.136074
OIU-3021-XZZ#Sortir 420#58.58338#23.617957
XJU-3866-XDO#Sortir 421#-70.05926#-72.555645
LUQ-7189-JNX#Sortir 422#-49.48828#43.727603
JOY-0660-ABR#Sortir 423#-83.869006#71.234829
CJI-5379-JLZ#Sortir 424#59.844603#-143.943126
CNP-2199-PFI#Sortir 425#-20.403054#-66.974558
PUZ-6314-KRC#Sortir 426#23.287456#-68.454242
KBD-1941-IRZ#Sortir 427#76.437038#172.082224
FED-9461-OQW#Sortir 428#-33.251525#-175.603688
WHA-2879-YRI#Sortir 429#-34.09794#-176.708061
FSV-3899-NMH#Sortir 430#25.618098#-64.084187
BOV-1032-UPP#Sortir 431#-2.75208#-160.26899
MMQ-3539-TJT#Sortir 432#-17.195801#67.738868
YME-4943-BGC#Sortir 433#-88.660047#78.843202
BZE-4397-POQ#Sortir 434#57.461367#-143.264098
UMC-1449-IXG#Sortir 435#-16.205352#161.381454
SFI-6259-QFP#Sortir 436#-34.719953#-97.42335
OBW-3061-CON#Sortir 437#-56.737584#-105.540187
TIP-3217-VFP#Sortir 438#53.233555#126.185835
LIM-5223-TCS#Sortir 439#1.212756#34.687388
ADA-0211-IEB#Sortir 440#-81.101595#80.778545
UXC-5731-HQE#Sortir 441#-2.589823#146.892411
GCW-1821-SEI#Sortir 442#-16.793066#122.075955
UQK-0856-QCK#Sortir 443#-32.733557#-109.631652
TDO-6640-TDD#Sortir 444#-31.664996#81.350381
KJQ-7653-YLB#Sortir 445#4.938467#-135.806997
RTD-3132-DLC#Sortir 446#85.705666#121.141114
FXJ-2364-BWS#Sortir 447#-39.636454#-11.992849
HBC-4710-CQW#Sortir 448#-63.928229#-130.855775
OOE-6880-YGL#Sortir 449#-4.879029#92.87305
ADA-4487-LFP#Sortir 450#23.33463#-101.775946
SMB-5107-UAM#Sortir 451#36.039367#32.246563
HAF-1661-MKA#Sortir 452#-65.360294#-85.061198
MLC-4837-IZZ#Sortir 453#50.909094#-87.014344
PVP-3326-XAI#Sortir 454#-27.219675#1.727649
TWO-6868-GSZ#Sortir 455#84.789988#38.600925
XTT-1877-YCZ#Sortir 456#-61.920863#-14.536084
TDW-0183-MZQ#Sortir 457#-0.548317#-118.932803
DSY-5498-FVF#Sortir 458#-89.123234#46.386464
NZD-0808-PMY#Sortir 459#56.811531#-104.283795
RTM-1188-LMC#Sortir 460#36.006123#-26.94693
UHG-3552-HTD#Sortir 461#68.718519#-167.006866
NUI-9479-AHP#Sortir 462#34.249302#152.522202
JZI-0446-LSA#Sortir 463#-54.885046#1.993502
YWO-8754-AVR#Sortir 464#55.173309#170.337734
LVJ-9247-LSP#Sortir 465#73.138732#-116.815669
OGS-6592-BIV#Sortir 466#-68.437265#-24.099042
CZT-7920-GCO#Sortir 467#-5.608176#58.351525
SRJ-8603-EZP#Sortir 468#76.130682#-170.956209
WRR-4259-WQL#Sortir 469#71.299704#-161.735128
SOQ-6136-EWA#Sortir 470#-5.912894#-0.823763
NLN-1959-NKV#Sortir 471#66.565919#5.637767
WOL-2877-GHK#Sortir 472#-76.667224#-84.639342
QOC-0310-OBP#Sortir 473#24.132352#-60.668788
AUN-6834-HFJ#Sortir 474#-10.441347#132.35984
EHJ-9553-UIQ#Sortir 475#12.844503#14.657061
YYD-3443-NDB#Sortir 476#8.916529#-160.160662
SUH-8193-MQU#Sortir 477#23.778973#30.653182
